,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
7519,46643144,11,8.0,10.0,82.0,5.84,5.2,16.2,0.0,1.5,30.0,123.5,5.6,,2444,51.3,14.92,POINT (14.92 51.3)
7547,46623118,4,14.0,80.0,6.0,7.42,6.72,13.4,1.0,1.5,51.7,181.1,12.3,,2451,51.07,14.87,POINT (14.87 51.07)
7577,46603108,8,14.0,82.0,4.0,4.18,3.63,30.4,0.0,1.5,12.3,36.2,8.3,,2382,50.98,14.83,POINT (14.83 50.98)
7620,46563124,8,13.0,63.0,24.0,5.26,4.83,20.0,0.0,2.1,11.4,49.0,8.5,,2450,51.13,14.79,POINT (14.79 51.13)
7663,46543152,5,3.0,8.0,90.0,4.05,3.27,27.9,0.0,1.0,12.4,28.7,5.8,,2808,51.38,14.79,POINT (14.79 51.38)
7664,46543138,14,7.0,28.0,64.0,3.85,3.44,32.2,0.0,1.9,28.8,58.7,5.9,,1559,51.26,14.77,POINT (14.77 51.26)
7745,46483136,17,7.0,25.0,68.0,6.06,5.62,13.7,0.0,1.4,63.1,155.5,6.3,,2438,51.24,14.69,POINT (14.69 51.24)
7809,46443178,9,4.0,12.0,84.0,4.9,4.29,20.3,1.0,0.8,0.0,22.2,3.3,,2774,51.62,14.67,POINT (14.67 51.62)
7810,46443124,20,12.0,57.0,31.0,6.41,6.04,11.5,0.0,1.2,24.6,143.0,8.2,,2366,51.14,14.62,POINT (14.62 51.14)
7831,46423144,12,5.0,7.0,88.0,4.94,4.4,10.4,1.0,0.7,0.0,24.8,1.0,,1558,51.32,14.61,POINT (14.61 51.32)
7832,46423126,5,11.0,78.0,11.0,6.06,5.55,13.1,0.0,1.3,46.0,362.0,9.1,,2365,51.15,14.59,POINT (14.59 51.15)
7862,46403220,6,5.0,24.0,72.0,4.7,4.16,33.9,1.0,1.6,36.3,74.4,5.6,,2566,52.0,14.65,POINT (14.65 52)
7863,46403170,8,19.0,58.0,23.0,4.41,3.6,96.9,0.0,5.6,17.8,111.9,12.5,,2810,51.55,14.6,POINT (14.6 51.55)
7864,46403134,3,32.0,54.0,14.0,6.21,5.8,22.8,0.0,2.3,28.6,130.9,17.6,,1560,51.23,14.57,POINT (14.57 51.23)
7865,46403130,6,11.0,77.0,12.0,6.33,6.02,13.9,1.0,1.5,51.9,255.7,8.8,,2437,51.19,14.57,POINT (14.57 51.19)
7888,46383154,2,3.0,7.0,90.0,5.05,4.15,10.9,0.0,0.5,0.0,32.9,2.9,,2811,51.41,14.56,POINT (14.56 51.41)
7924,46363218,8,3.0,8.0,89.0,3.99,3.25,35.3,0.0,1.3,26.4,58.0,4.4,,2564,51.98,14.59,POINT (14.59 51.98)
7925,46363192,6,4.0,14.0,82.0,4.6,3.9,12.9,0.0,0.6,0.0,28.0,1.0,,2773,51.75,14.56,POINT (14.56 51.75)
7926,46363128,5,17.0,75.0,8.0,6.49,6.16,20.0,0.0,2.0,31.3,178.2,12.5,,2364,51.18,14.51,POINT (14.51 51.18)
7972,46323180,4,3.0,7.0,90.0,4.74,3.86,14.3,0.0,0.7,21.8,28.2,2.5,,2775,51.64,14.5,POINT (14.5 51.64)
7973,46323144,3,8.0,18.0,74.0,4.29,3.72,38.0,0.0,2.7,23.1,171.1,6.1,,1557,51.32,14.47,POINT (14.47 51.32)
7974,46323140,7,5.0,20.0,75.0,4.42,3.58,26.2,0.0,1.2,0.0,48.7,5.5,,1556,51.29,14.46,POINT (14.46 51.29)
7975,46323122,2,15.0,80.0,6.0,5.71,5.03,24.8,0.0,2.5,13.0,0.0,10.2,,1516,51.12,14.45,POINT (14.45 51.12)
7992,46303244,2,3.0,5.0,92.0,5.45,4.37,15.8,0.0,0.9,13.0,17.1,2.9,,2561,52.22,14.52,POINT (14.52 52.22)
7993,46303208,7,3.0,8.0,90.0,4.25,3.48,10.5,0.0,0.5,18.5,16.5,1.0,,2772,51.9,14.49,POINT (14.49 51.9)
7994,46303172,2,5.0,23.0,73.0,5.03,4.34,17.0,0.0,0.9,0.0,36.3,4.6,,2809,51.57,14.46,POINT (14.46 51.57)
8016,46283270,9,10.0,40.0,50.0,6.65,6.25,12.8,1.0,1.3,55.8,272.0,7.9,,2563,52.45,14.52,POINT (14.52 52.45)
8017,46283230,7,2.0,7.0,91.0,4.19,3.43,17.5,1.0,0.9,0.0,26.6,4.3,,2556,52.09,14.48,POINT (14.48 52.09)
8061,46263100,20,13.0,45.0,43.0,3.79,3.29,57.0,0.0,2.7,39.8,80.9,11.7,,2452,50.93,14.34,POINT (14.34 50.93)
8082,46243176,4,3.0,9.0,88.0,4.74,3.86,22.0,0.0,1.1,19.9,33.6,2.3,,2776,51.61,14.38,POINT (14.38 51.61)
8103,46223292,6,24.0,31.0,46.0,7.24,6.54,14.6,0.0,1.6,64.4,135.4,21.6,,2538,52.65,14.45,POINT (14.45 52.65)
8104,46223224,6,2.0,7.0,91.0,3.83,3.08,27.5,0.0,0.9,12.2,23.7,4.7,,2562,52.04,14.39,POINT (14.39 52.04)
8127,46203244,13,9.0,11.0,80.0,4.05,3.48,78.7,0.0,3.1,16.3,142.9,11.4,,2560,52.22,14.38,POINT (14.38 52.22)
8128,46203136,7,11.0,56.0,33.0,6.02,5.38,11.9,0.0,1.0,28.2,131.5,6.2,,1535,51.26,14.29,POINT (14.29 51.26)
8166,46183272,7,4.0,25.0,71.0,5.24,5.05,12.1,0.0,1.4,34.7,118.8,3.7,,2567,52.48,14.37,POINT (14.37 52.48)
8167,46183264,7,2.0,9.0,89.0,4.29,3.42,18.1,1.0,0.9,25.1,0.0,4.4,,2565,52.41,14.37,POINT (14.37 52.41)
8168,46183138,7,11.0,32.0,57.0,3.79,3.17,65.8,0.0,2.7,0.0,64.5,8.9,,1536,51.28,14.26,POINT (14.26 51.28)
8169,46183128,7,14.0,81.0,5.0,4.93,4.01,22.4,1.0,2.2,19.8,90.5,7.3,,1534,51.19,14.25,POINT (14.25 51.19)
8170,46183120,7,11.0,53.0,35.0,3.84,3.35,79.4,1.0,4.0,26.7,72.1,9.3,,1533,51.11,14.24,POINT (14.24 51.11)
8191,46163286,10,29.0,36.0,35.0,7.55,6.92,14.9,1.0,1.5,61.1,136.8,25.1,,2545,52.6,14.36,POINT (14.36 52.6)
8192,46163250,1,4.0,10.0,86.0,4.09,3.37,96.4,0.0,4.9,42.4,133.5,8.7,,2568,52.28,14.33,POINT (14.33 52.28)
8193,46163214,6,3.0,10.0,86.0,4.03,3.3,34.8,0.0,1.4,0.0,15.8,3.6,,2555,51.96,14.29,POINT (14.29 51.96)
8194,46163196,2,3.0,10.0,87.0,4.36,3.5,20.2,0.0,1.1,76.7,22.0,4.5,,2771,51.8,14.28,POINT (14.28 51.8)
8195,46163160,4,2.0,7.0,90.0,4.81,4.26,22.7,0.0,1.1,0.0,37.5,3.8,,2812,51.47,14.25,POINT (14.25 51.47)
8224,46143292,4,27.0,36.0,37.0,7.43,6.93,20.1,5.0,2.0,59.3,133.8,24.2,,2548,52.66,14.33,POINT (14.33 52.66)
8225,46143288,7,35.0,32.0,34.0,6.98,6.63,19.7,2.0,1.9,73.5,324.7,25.5,,2547,52.62,14.33,POINT (14.33 52.62)
8226,46143212,2,4.0,5.0,91.0,3.61,2.9,60.4,0.0,2.0,0.0,36.0,4.2,,2576,51.94,14.26,POINT (14.26 51.94)
8227,46143198,11,3.0,5.0,93.0,4.4,3.54,11.4,0.0,0.9,26.6,18.2,1.0,,2770,51.82,14.25,POINT (14.25 51.82)
8228,46143140,16,2.0,7.0,91.0,3.96,3.53,22.2,0.0,1.1,0.0,16.9,3.4,,1537,51.3,14.2,POINT (14.2 51.3)
8244,46123154,10,12.0,16.0,72.0,4.95,4.27,13.0,0.0,1.0,0.0,73.2,6.2,,2815,51.42,14.19,POINT (14.19 51.42)
8267,46103338,20,4.0,9.0,87.0,8.48,7.92,5.0,36.0,0.8,50.2,346.9,6.8,,2541,53.07,14.31,POINT (14.31 53.07)
8268,46103302,8,48.0,43.0,10.0,7.46,6.95,22.6,5.0,2.3,150.5,270.2,32.8,,2546,52.75,14.28,POINT (14.28 52.75)
8269,46103252,6,5.0,8.0,87.0,4.37,3.41,43.8,0.0,2.3,57.5,74.4,3.5,,2559,52.3,14.24,POINT (14.24 52.3)
8270,46103168,4,5.0,30.0,66.0,4.67,3.91,25.4,0.0,0.8,0.0,31.4,2.5,,2820,51.55,14.17,POINT (14.17 51.55)
8271,46103104,5,5.0,18.0,77.0,4.09,3.35,45.6,0.0,2.6,40.7,40.0,6.6,,1539,50.97,14.12,POINT (14.12 50.97)
8272,46103090,15,7.0,37.0,56.0,3.58,2.92,187.7,1.0,6.5,16.5,70.3,13.7,,1501,50.85,14.11,POINT (14.11 50.85)
8299,46083304,11,64.0,26.0,10.0,6.69,6.33,32.0,1.0,3.1,57.4,385.1,38.9,,2543,52.77,14.25,POINT (14.25 52.77)
8300,46083280,5,4.0,13.0,83.0,7.44,7.04,6.6,5.0,0.8,22.4,66.4,4.5,,2571,52.55,14.23,POINT (14.23 52.55)
8301,46083208,11,2.0,7.0,91.0,4.37,3.62,16.9,0.0,0.9,17.1,38.6,3.7,,2769,51.91,14.17,POINT (14.17 51.91)
8329,46063374,6,8.0,30.0,61.0,6.34,5.94,10.6,1.0,1.2,42.4,185.3,6.8,,1353,53.4,14.29,POINT (14.29 53.4)
8330,46063270,21,7.0,18.0,75.0,7.09,6.4,12.2,0.0,1.2,44.9,78.5,6.0,,2557,52.47,14.2,POINT (14.2 52.47)
8331,46063266,6,3.0,8.0,89.0,4.16,3.67,15.8,0.0,1.2,0.0,41.2,2.0,,2558,52.43,14.19,POINT (14.19 52.43)
8332,46063090,9,10.0,24.0,66.0,6.41,5.94,16.2,2.0,1.3,61.4,114.9,6.6,,2440,50.85,14.05,POINT (14.05 50.85)
8349,46043364,6,12.0,29.0,59.0,7.43,7.02,13.6,7.0,1.4,33.7,222.5,10.3,,1354,53.31,14.25,POINT (14.25 53.31)
8350,46043346,4,5.0,13.0,82.0,4.45,3.68,6.7,0.0,0.7,74.2,31.8,4.1,,1235,53.15,14.23,POINT (14.23 53.15)
8351,46043206,2,9.0,10.0,80.0,5.57,4.62,18.9,0.0,1.6,33.0,88.8,7.4,,2768,51.89,14.11,POINT (14.11 51.89)
8352,46043152,6,3.0,3.0,94.0,4.78,4.24,5.9,1.0,0.3,0.0,21.3,1.0,,2816,51.41,14.07,POINT (14.07 51.41)
8374,46023376,5,5.0,9.0,86.0,7.14,6.76,34.3,2.0,3.4,77.3,101.3,20.8,,1351,53.42,14.23,POINT (14.23 53.42)
8375,46023334,9,16.0,27.0,57.0,7.52,7.11,10.3,10.0,1.1,14.6,142.7,12.1,,2540,53.04,14.19,POINT (14.19 53.04)
8376,46023190,2,2.0,3.0,94.0,4.35,3.73,14.1,1.0,0.8,16.3,22.7,4.1,,2806,51.75,14.07,POINT (14.07 51.75)
8406,46003390,4,5.0,9.0,86.0,5.29,5.0,116.3,0.0,9.0,52.1,79.6,44.6,,1352,53.54,14.21,POINT (14.21 53.54)
8407,46003362,11,6.0,23.0,70.0,8.14,7.24,8.9,44.0,1.0,44.3,651.5,7.5,,1237,53.29,14.19,POINT (14.19 53.29)
8408,46003300,8,2.0,3.0,95.0,7.13,6.56,12.6,2.0,1.1,15.3,30.2,4.2,,2544,52.74,14.13,POINT (14.13 52.74)
8409,46003278,13,13.0,24.0,64.0,7.02,6.31,25.2,1.0,2.2,32.3,194.7,14.1,,2570,52.54,14.11,POINT (14.11 52.54)
8410,46003260,7,3.0,10.0,88.0,5.37,4.89,24.9,0.0,2.1,32.3,57.9,5.7,,2569,52.38,14.1,POINT (14.1 52.38)
8411,46003134,7,13.0,38.0,49.0,4.88,4.41,35.3,0.0,2.7,68.8,103.5,3.3,,1543,51.25,14.0,POINT (14 51.25)
8412,46003098,9,15.0,32.0,52.0,5.75,5.21,20.8,1.0,1.7,0.0,170.5,7.3,,1538,50.93,13.97,POINT (13.97 50.93)
8427,45983376,4,9.0,28.0,63.0,6.51,5.98,12.1,1.0,1.4,76.9,385.7,9.1,,2174,53.42,14.17,POINT (14.17 53.42)
8428,45983304,18,56.0,37.0,7.0,5.94,5.64,36.2,1.0,3.5,64.3,420.0,34.5,,1221,52.77,14.11,POINT (14.11 52.77)
8429,45983286,11,20.0,32.0,49.0,6.59,5.49,8.7,0.0,1.2,0.0,91.0,9.9,,2600,52.61,14.09,POINT (14.09 52.61)
8430,45983232,6,3.0,6.0,91.0,3.88,3.28,37.7,0.0,1.5,32.5,35.3,3.6,,2578,52.13,14.05,POINT (14.05 52.13)
8431,45983214,16,2.0,18.0,80.0,4.36,3.58,45.2,1.0,1.7,16.3,33.8,4.2,,2549,51.97,14.03,POINT (14.03 51.97)
8432,45983142,34,5.0,11.0,85.0,4.24,3.48,29.9,0.0,1.1,0.0,33.5,5.9,,1542,51.32,13.98,POINT (13.98 51.32)
8433,45983106,4,11.0,51.0,38.0,4.39,3.66,36.8,0.0,2.5,40.5,94.9,6.7,,1540,51.0,13.95,POINT (13.95 51)
8455,45963382,9,4.0,13.0,83.0,5.51,5.11,8.8,1.0,0.9,59.2,136.3,5.8,,2173,53.48,14.14,POINT (14.14 53.48)
8456,45963342,5,5.0,18.0,77.0,5.9,5.06,5.2,0.0,0.7,22.8,41.8,1.0,,1234,53.12,14.11,POINT (14.11 53.12)
8457,45963328,6,8.0,19.0,73.0,6.64,6.32,8.6,1.0,1.1,35.7,79.2,7.5,,2537,52.99,14.1,POINT (14.1 52.99)
8458,45963320,21,3.0,7.0,91.0,7.81,7.14,3.7,72.0,0.5,0.0,36.9,3.7,,2539,52.92,14.09,POINT (14.09 52.92)
8459,45963310,3,2.0,2.0,96.0,5.62,4.87,3.9,1.0,0.4,18.9,33.4,3.0,,1222,52.83,14.08,POINT (14.08 52.83)
8460,45963284,7,5.0,15.0,80.0,4.13,3.5,53.4,1.0,2.6,16.9,41.8,4.9,,2919,52.6,14.06,POINT (14.06 52.6)
8461,45963234,3,4.0,10.0,86.0,4.01,3.11,48.7,0.0,1.9,0.0,33.8,4.9,,2534,52.15,14.02,POINT (14.02 52.15)
8462,45963158,2,5.0,13.0,83.0,5.24,4.42,41.2,0.0,2.4,0.0,56.9,10.0,,2817,51.47,13.96,POINT (13.96 51.47)
8463,45962856,23,11.0,28.0,62.0,6.36,5.48,17.8,0.0,1.3,12.2,46.0,7.1,,1945,48.75,13.74,POINT (13.74 48.75)
8480,45943172,5,11.0,20.0,70.0,6.62,6.08,14.9,0.0,1.0,22.6,104.2,6.9,,2818,51.59,13.94,POINT (13.94 51.59)
8500,45923288,4,9.0,23.0,67.0,4.83,4.6,105.4,1.0,8.6,13.4,63.2,28.8,,2599,52.63,14.0,POINT (14 52.63)
8501,45923270,2,3.0,8.0,88.0,5.01,4.12,22.8,0.0,1.3,22.1,47.1,5.6,,2579,52.47,13.99,POINT (13.99 52.47)
8502,45923266,13,4.0,8.0,87.0,4.85,4.17,13.2,0.0,0.8,29.8,21.4,2.9,,2581,52.44,13.99,POINT (13.99 52.44)
8503,45923252,7,7.0,21.0,72.0,4.23,3.69,21.1,0.0,1.5,18.0,71.7,5.1,,2583,52.31,13.98,POINT (13.98 52.31)
8504,45923114,4,4.0,11.0,84.0,3.93,3.36,81.7,2.0,3.0,11.9,52.0,10.5,,1532,51.07,13.87,POINT (13.87 51.07)
8528,45903358,7,16.0,29.0,55.0,6.29,5.6,16.2,0.0,1.5,42.9,378.7,12.8,,1236,53.26,14.03,POINT (14.03 53.26)
8529,45903214,9,7.0,4.0,89.0,3.87,2.95,38.4,0.0,1.3,11.3,0.0,4.3,,2550,51.97,13.92,POINT (13.92 51.97)
8530,45903142,19,4.0,12.0,84.0,7.17,6.8,22.7,2.0,1.9,16.3,81.0,12.8,,1541,51.3,13.84,POINT (13.84 51.3)
8557,45883320,8,11.0,29.0,60.0,6.86,6.45,11.1,0.0,1.2,0.0,69.8,9.4,,2542,52.92,13.97,POINT (13.97 52.92)
8558,45883266,6,2.0,7.0,91.0,4.31,3.75,18.9,0.0,1.0,25.4,39.0,3.0,,2580,52.44,13.93,POINT (13.93 52.44)
8562,45882852,5,20.0,42.0,38.0,5.22,4.65,32.5,0.0,3.0,19.1,153.9,8.9,,1944,48.72,13.63,POINT (13.63 48.72)
8578,45863292,6,5.0,23.0,72.0,4.16,3.87,15.0,1.0,1.0,12.4,30.2,3.3,,2593,52.67,13.92,POINT (13.92 52.67)
8579,45863256,16,7.0,15.0,78.0,5.85,5.61,35.3,1.0,2.3,10.6,37.5,12.8,,2582,52.35,13.89,POINT (13.89 52.35)
8580,45863206,9,11.0,25.0,64.0,5.19,4.8,199.2,0.0,11.9,13.4,44.7,40.0,,2767,51.9,13.85,POINT (13.85 51.9)
8581,45863134,16,5.0,14.0,81.0,4.01,3.34,25.6,1.0,1.1,0.0,0.0,4.0,,1514,51.25,13.8,POINT (13.8 51.25)
8584,45862846,38,4.0,27.0,69.0,4.73,3.88,27.3,0.0,1.4,36.8,88.7,4.4,,1938,48.67,13.6,POINT (13.6 48.67)
8605,45843352,7,11.0,18.0,71.0,6.9,5.98,11.6,0.0,1.2,0.0,72.0,8.4,,1238,53.21,13.94,POINT (13.94 53.21)
8606,45843316,3,3.0,15.0,82.0,4.14,3.49,21.2,0.0,1.3,21.8,32.1,1.0,,2700,52.89,13.91,POINT (13.91 52.89)
8607,45843240,5,3.0,3.0,94.0,3.91,3.12,40.0,0.0,1.5,22.0,21.9,1.0,,2535,52.21,13.85,POINT (13.85 52.21)
8608,45843172,2,3.0,12.0,85.0,4.7,3.99,35.6,0.0,1.4,0.0,29.7,4.3,,2819,51.6,13.8,POINT (13.8 51.6)
8632,45823296,4,3.0,7.0,90.0,4.58,3.42,71.9,1.0,3.0,23.1,66.3,6.4,,2594,52.71,13.86,POINT (13.86 52.71)
8633,45823278,6,2.0,4.0,95.0,4.53,4.16,17.4,1.0,1.1,15.6,31.8,4.7,,2598,52.55,13.85,POINT (13.85 52.55)
8634,45823182,5,6.0,14.0,80.0,4.25,3.52,19.0,0.0,0.8,0.0,31.6,3.4,,2807,51.69,13.78,POINT (13.78 51.69)
8635,45823156,5,6.0,13.0,81.0,4.06,3.61,63.5,0.0,2.7,0.0,44.3,8.9,,2813,51.45,13.76,POINT (13.76 51.45)
8636,45823146,12,3.0,13.0,85.0,6.4,5.54,10.8,1.0,1.1,30.1,74.2,2.6,,1515,51.36,13.75,POINT (13.75 51.36)
8637,45823098,37,10.0,31.0,59.0,4.29,3.7,30.5,1.0,2.5,124.0,204.9,8.4,,1513,50.93,13.71,POINT (13.71 50.93)
8638,45823084,45,12.0,42.0,45.0,4.42,3.79,24.6,0.0,1.2,0.0,46.7,9.6,,1553,50.81,13.7,POINT (13.7 50.81)
8653,45803340,17,6.0,21.0,73.0,6.52,6.08,15.6,1.0,1.5,76.9,12.3,6.8,,2699,53.11,13.87,POINT (13.87 53.11)
8654,45803232,3,1.0,3.0,95.0,5.0,4.26,20.0,2.0,1.0,0.0,22.8,2.4,,2533,52.14,13.78,POINT (13.78 52.14)
8655,45803124,6,12.0,21.0,67.0,6.03,5.52,24.3,0.0,2.2,21.5,35.2,10.1,,1512,51.17,13.7,POINT (13.7 51.17)
8675,45783346,5,4.0,7.0,88.0,5.24,4.53,9.2,0.0,1.0,58.4,89.6,6.1,,1233,53.16,13.84,POINT (13.84 53.16)
8676,45783302,13,4.0,25.0,71.0,6.37,5.95,16.0,0.0,1.7,32.9,31.8,9.4,,2592,52.77,13.81,POINT (13.81 52.77)
8677,45783202,15,4.0,16.0,81.0,6.28,6.04,11.4,0.0,1.1,41.8,91.9,5.2,,2803,51.87,13.73,POINT (13.73 51.87)
8678,45783184,3,5.0,13.0,82.0,5.75,5.13,14.1,0.0,1.2,85.1,67.5,5.9,,2805,51.71,13.72,POINT (13.72 51.71)
8679,45783094,16,15.0,50.0,36.0,5.83,5.3,16.8,1.0,1.8,123.1,201.8,10.0,,1517,50.9,13.65,POINT (13.65 50.9)
8680,45783086,9,16.0,37.0,47.0,4.98,3.75,42.2,0.0,2.3,10.3,57.6,10.2,,1554,50.83,13.65,POINT (13.65 50.83)
8684,45782870,20,24.0,40.0,36.0,5.49,4.45,40.2,0.0,3.3,0.0,64.5,7.6,,1946,48.89,13.5,POINT (13.5 48.89)
8696,45763154,18,15.0,49.0,36.0,4.39,3.66,52.9,1.0,3.4,23.5,87.5,11.0,,2814,51.44,13.67,POINT (13.67 51.44)
8697,45763136,13,10.0,18.0,72.0,4.97,4.44,11.2,0.0,1.2,26.3,104.2,4.9,,1518,51.28,13.66,POINT (13.66 51.28)
8699,45762848,7,12.0,27.0,61.0,5.27,4.85,17.9,0.0,1.5,80.9,145.3,8.7,,1937,48.69,13.46,POINT (13.46 48.69)
8721,45743270,6,4.0,15.0,81.0,6.61,5.96,18.4,0.0,1.5,33.1,111.4,6.2,,2596,52.48,13.73,POINT (13.73 52.48)
8722,45743266,9,3.0,3.0,94.0,4.9,4.14,10.9,0.0,0.7,12.2,25.2,1.0,,2572,52.45,13.72,POINT (13.72 52.45)
8723,45743216,6,1.0,3.0,96.0,4.8,4.22,3.0,1.0,0.3,34.5,42.7,1.0,,2552,52.0,13.69,POINT (13.69 52)
8724,45743204,7,4.0,20.0,76.0,5.71,4.93,5.6,1.0,0.7,34.0,76.9,4.5,,2804,51.89,13.68,POINT (13.68 51.89)
8725,45743126,14,13.0,14.0,73.0,6.19,6.1,81.0,1.0,5.0,0.0,65.9,36.9,,1511,51.19,13.62,POINT (13.62 51.19)
8729,45742826,3,18.0,77.0,5.0,5.36,4.5,17.0,2.0,2.0,0.0,60.4,8.3,,1948,48.49,13.42,POINT (13.42 48.49)
8751,45723316,5,12.0,23.0,65.0,7.02,6.64,27.7,3.0,2.3,10.3,86.0,16.7,,2692,52.89,13.73,POINT (13.73 52.89)
8752,45723304,4,3.0,5.0,92.0,4.29,3.18,27.8,0.0,1.4,50.1,45.7,4.5,,2697,52.79,13.72,POINT (13.72 52.79)
8753,45723250,3,3.0,6.0,90.0,4.07,3.54,15.0,0.0,1.0,49.0,25.2,2.1,,2574,52.3,13.68,POINT (13.68 52.3)
8754,45723124,4,3.0,6.0,91.0,6.09,5.62,10.9,0.0,0.8,38.9,28.7,2.5,,1510,51.17,13.59,POINT (13.59 51.17)
8755,45723100,21,10.0,36.0,54.0,5.36,4.93,38.0,2.0,1.6,12.8,42.7,13.9,,1509,50.96,13.57,POINT (13.57 50.96)
8778,45703360,3,8.0,24.0,68.0,6.81,6.4,11.4,0.0,1.2,39.6,181.5,5.6,,1257,53.29,13.74,POINT (13.74 53.29)
8779,45703288,9,6.0,22.0,72.0,7.09,6.51,5.2,0.0,0.7,11.9,33.1,4.1,,2587,52.64,13.68,POINT (13.68 52.64)
8780,45703230,6,2.0,4.0,93.0,6.16,5.46,7.4,0.0,0.6,39.4,12.5,3.5,,2532,52.12,13.64,POINT (13.64 52.12)
8783,45702852,20,8.0,15.0,76.0,5.79,5.13,21.9,1.0,2.2,28.5,145.2,7.0,,1939,48.73,13.38,POINT (13.38 48.73)
8784,45702816,6,20.0,58.0,23.0,6.8,6.28,15.5,0.0,1.6,66.6,157.8,11.1,,1950,48.41,13.36,POINT (13.36 48.41)
8802,45683350,6,4.0,15.0,80.0,5.78,4.81,7.2,0.0,0.7,59.7,0.0,3.1,,1232,53.2,13.7,POINT (13.7 53.2)
8803,45683292,5,9.0,17.0,74.0,6.66,6.25,18.0,1.0,1.7,28.3,150.9,9.1,,2590,52.68,13.65,POINT (13.65 52.68)
8804,45683278,2,4.0,12.0,84.0,6.42,5.45,7.0,0.0,0.7,48.8,117.3,4.3,,2696,52.56,13.64,POINT (13.64 52.56)
8805,45683238,6,2.0,7.0,91.0,4.69,3.74,32.3,0.0,1.8,21.7,40.3,3.2,,2577,52.2,13.61,POINT (13.61 52.2)
8806,45683220,3,5.0,4.0,91.0,6.0,5.52,45.7,0.0,3.5,11.8,45.2,14.4,,2553,52.04,13.6,POINT (13.6 52.04)
8807,45683188,3,2.0,5.0,93.0,4.27,3.27,18.7,0.0,0.8,12.7,31.9,4.5,,2802,51.75,13.58,POINT (13.58 51.75)
8808,45683170,12,5.0,15.0,80.0,4.18,3.37,25.0,1.0,1.0,0.0,24.1,4.9,,2798,51.59,13.57,POINT (13.57 51.59)
8824,45663298,8,6.0,16.0,77.0,6.13,5.66,7.5,0.0,0.9,24.3,67.8,5.2,,2591,52.74,13.63,POINT (13.63 52.74)
8825,45663226,8,3.0,5.0,92.0,4.69,3.61,30.7,0.0,1.5,0.0,26.5,4.3,,2551,52.09,13.58,POINT (13.58 52.09)
8826,45663160,8,10.0,29.0,61.0,6.94,6.47,12.9,1.0,1.2,64.1,78.9,10.3,,2799,51.5,13.53,POINT (13.53 51.5)
8827,45663154,8,8.0,14.0,78.0,6.11,5.59,27.4,0.0,2.1,59.0,99.3,7.5,,2800,51.44,13.53,POINT (13.53 51.44)
8831,45662866,11,18.0,37.0,45.0,5.67,4.83,26.9,0.0,2.5,28.9,64.0,7.4,,1943,48.86,13.34,POINT (13.34 48.86)
8856,45643314,9,4.0,8.0,88.0,4.46,3.84,9.3,0.0,0.6,19.9,16.9,2.7,,2698,52.88,13.61,POINT (13.61 52.88)
8857,45643218,8,2.0,5.0,93.0,4.26,3.27,21.2,0.0,0.9,25.3,0.0,3.8,,2415,52.02,13.54,POINT (13.54 52.02)
8858,45643098,18,12.0,61.0,27.0,4.11,3.32,168.8,0.0,5.3,21.2,131.0,13.8,,1555,50.94,13.46,POINT (13.46 50.94)
8859,45643084,15,17.0,49.0,33.0,3.83,3.39,107.3,0.0,6.1,21.8,96.3,12.2,,1552,50.82,13.45,POINT (13.45 50.82)
8860,45642828,27,24.0,45.0,31.0,7.27,6.91,16.3,6.0,1.6,61.8,102.7,21.7,,1947,48.52,13.29,POINT (13.29 48.52)
8872,45623286,11,10.0,18.0,73.0,7.61,6.91,8.5,4.0,0.9,60.5,55.7,7.4,,2694,52.63,13.56,POINT (13.56 52.63)
8873,45623070,18,18.0,38.0,44.0,6.02,5.66,23.7,1.0,2.1,13.1,56.8,10.3,,1550,50.69,13.41,POINT (13.41 50.69)
8892,45603292,4,3.0,1.0,96.0,4.47,3.65,12.9,0.0,0.8,34.9,17.4,1.0,,2586,52.68,13.54,POINT (13.54 52.68)
8893,45603068,10,18.0,40.0,42.0,5.4,4.99,27.2,0.0,2.6,14.4,61.4,9.4,,1549,50.67,13.38,POINT (13.38 50.67)
8898,45602816,13,12.0,38.0,50.0,6.08,5.66,14.9,1.0,1.8,65.4,246.8,8.8,,1976,48.41,13.23,POINT (13.23 48.41)
8899,45602806,6,20.0,45.0,36.0,6.95,6.57,19.1,1.0,2.0,36.5,141.5,12.0,,1975,48.32,13.22,POINT (13.22 48.32)
8917,45583298,7,2.0,5.0,93.0,4.03,3.34,18.4,0.0,1.0,0.0,23.0,3.2,,2589,52.74,13.51,POINT (13.51 52.74)
8918,45583208,3,3.0,19.0,77.0,6.22,5.48,7.9,1.0,0.7,39.8,46.6,4.7,,2780,51.93,13.45,POINT (13.45 51.93)
8919,45583190,3,2.0,5.0,93.0,4.06,3.45,18.3,3.0,0.7,0.0,35.8,3.1,,2785,51.77,13.43,POINT (13.43 51.77)
8920,45583172,28,6.0,14.0,81.0,3.97,3.58,82.3,0.0,2.7,14.4,34.0,9.0,,2797,51.61,13.42,POINT (13.42 51.61)
8921,45583154,9,6.0,16.0,78.0,6.07,5.5,14.7,1.0,1.2,73.7,147.5,7.0,,2795,51.45,13.41,POINT (13.41 51.45)
