,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
11956,41903350,5,13.0,22.0,65.0,5.73,5.43,49.3,0.0,4.2,53.2,309.4,20.0,,1285,53.24,8.04,POINT (8.039999999999999 53.24)
11957,41903314,10,2.0,8.0,91.0,4.99,4.68,23.7,0.0,1.6,137.4,0.0,3.4,,1345,52.92,8.05,POINT (8.050000000000001 52.92)
11958,41903278,3,3.0,8.0,89.0,5.51,4.95,17.1,1.0,1.6,114.1,237.8,3.9,,2688,52.6,8.07,POINT (8.07 52.6)
11959,41903206,9,4.0,7.0,89.0,7.25,6.86,31.3,17.0,1.8,114.2,94.4,14.4,,1835,51.95,8.09,POINT (8.09 51.95)
11960,41903188,17,28.0,42.0,30.0,7.69,7.27,20.1,95.0,2.1,71.0,358.7,19.4,,1833,51.79,8.1,POINT (8.1 51.79)
11961,41903184,7,25.0,40.0,35.0,6.35,5.91,21.0,2.0,2.3,38.6,213.6,17.4,,1832,51.75,8.1,POINT (8.1 51.75)
11962,41902954,4,21.0,71.0,8.0,7.77,7.44,18.2,207.0,1.7,51.6,578.1,16.9,,1627,49.68,8.18,POINT (8.18 49.68)
11963,41902738,19,19.0,25.0,56.0,5.77,5.31,29.5,0.0,2.7,48.5,67.5,10.8,,3067,47.74,8.25,POINT (8.25 47.74)
11967,41883358,7,3.0,14.0,82.0,4.34,3.87,30.7,0.0,2.7,171.1,87.8,3.9,,1286,53.31,8.0,POINT (8 53.31)
11968,41883208,2,3.0,12.0,85.0,5.24,4.83,14.5,1.0,1.2,80.6,58.2,5.2,,2473,51.97,8.06,POINT (8.06 51.97)
11969,41883154,16,23.0,60.0,17.0,4.45,3.57,52.7,0.0,3.2,16.1,59.4,12.2,,1828,51.48,8.09,POINT (8.09 51.48)
11970,41883136,13,25.0,59.0,16.0,5.32,5.04,27.9,1.0,2.9,42.8,130.4,10.2,,2492,51.32,8.09,POINT (8.09 51.32)
11971,41883124,20,23.0,67.0,10.0,3.7,3.23,124.0,1.0,6.0,20.2,103.7,17.6,,2494,51.21,8.1,POINT (8.1 51.21)
11972,41883064,6,30.0,60.0,10.0,5.74,5.21,55.9,2.0,5.4,26.2,480.8,19.7,,2208,50.67,8.12,POINT (8.119999999999999 50.67)
11973,41882974,5,43.0,46.0,10.0,7.51,6.75,18.7,1.0,1.7,116.9,1241.6,26.5,,1622,49.86,8.15,POINT (8.15 49.86)
11974,41882944,19,28.0,53.0,19.0,8.01,7.39,42.3,292.0,3.5,89.4,1026.1,27.7,,1625,49.59,8.16,POINT (8.16 49.59)
11979,41863380,9,26.0,52.0,22.0,6.52,6.07,11.2,0.0,1.4,30.9,247.6,14.6,,1287,53.51,7.97,POINT (7.97 53.51)
11980,41863336,7,7.0,22.0,71.0,5.04,4.5,81.4,0.0,4.0,41.8,127.5,12.4,,1332,53.12,7.98,POINT (7.98 53.12)
11981,41863326,3,4.0,3.0,92.0,6.18,5.81,26.2,1.0,1.2,88.5,49.4,6.5,,1331,53.03,7.99,POINT (7.99 53.03)
11982,41863254,2,10.0,14.0,76.0,3.77,3.25,22.2,0.0,1.2,0.0,35.2,5.7,,2682,52.38,8.02,POINT (8.02 52.38)
