,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
0,0.17291959107535504,0.21483376936650744,0.08481500192473257,0.19049510130764113,0.19230688167275645,0.17107512005003978,0.04512463025228251,13,12.480099248886109,4.196355205713886,0.23581905364990235,0.05007450308271968,mse,5,68,43,90,815,"OrderedDict([('criterion', 'mse'), ('max_depth', 5), ('max_features', 68), ('min_samples_leaf', 43), ('min_samples_split', 90), ('n_estimators', 815)])"
1,0.06687402471216741,0.10386278139460936,0.042921014234641786,0.004744620412197698,0.06980151230594867,0.057646048717892626,0.0328068932431176,44,50.511972951889035,16.55410002286087,0.15337448120117186,0.025809566490450818,mae,14,137,57,83,122,"OrderedDict([('criterion', 'mae'), ('max_depth', 14), ('max_features', 137), ('min_samples_leaf', 57), ('min_samples_split', 83), ('n_estimators', 122)])"
2,0.038736755257507305,0.07385242144260118,0.02257368150605865,-0.01757795572516807,0.03533579468783865,0.03058878215348493,0.029470857638368073,47,64.3885087966919,20.958238299448382,0.2870315074920654,0.07020557489432074,mae,8,40,81,95,595,"OrderedDict([('criterion', 'mae'), ('max_depth', 8), ('max_features', 40), ('min_samples_leaf', 81), ('min_samples_split', 95), ('n_estimators', 595)])"
3,0.05030772017137197,0.08506498521637307,0.031280734266185606,-0.004269162074584054,0.053691773527547615,0.04321924923615675,0.029347410596257686,46,139.22912721633912,45.20016995382014,0.19130849838256836,0.06752005835116502,mae,4,142,77,69,381,"OrderedDict([('criterion', 'mae'), ('max_depth', 4), ('max_features', 142), ('min_samples_leaf', 77), ('min_samples_split', 69), ('n_estimators', 381)])"
4,0.08690074153993455,0.13165629653648947,0.05301573760487632,0.027776618681849108,0.09365558448521139,0.07860572227637505,0.03562217016297727,41,264.84581022262574,83.85161314481692,0.2277360439300537,0.06258440345901074,mae,9,151,38,88,505,"OrderedDict([('criterion', 'mae'), ('max_depth', 9), ('max_features', 151), ('min_samples_leaf', 38), ('min_samples_split', 88), ('n_estimators', 505)])"
5,0.09797936874225754,0.16292735572295858,0.06286383604779533,0.038801387244345564,0.12020239500655261,0.09655567977156863,0.04343207020679755,36,427.98499155044556,137.290716400617,0.26659355163574217,0.09572513674411057,mae,7,127,23,92,875,"OrderedDict([('criterion', 'mae'), ('max_depth', 7), ('max_features', 127), ('min_samples_leaf', 23), ('min_samples_split', 92), ('n_estimators', 875)])"
6,0.03359723825755567,0.07028868502882235,0.02280892666527745,-0.017211080470822093,0.03702244116197917,0.029303688595606357,0.02814741422319746,48,78.66243762969971,27.64538032407656,0.14693846702575683,0.023159693876892432,mae,2,210,84,32,187,"OrderedDict([('criterion', 'mae'), ('max_depth', 2), ('max_features', 210), ('min_samples_leaf', 84), ('min_samples_split', 32), ('n_estimators', 187)])"
7,0.09833226464311218,0.14597304137349643,0.08272287895655328,0.09027432144394543,0.13401404199659328,0.11025651523795674,0.02505308029776874,34,0.54228515625,0.0936995418447644,0.10573091506958007,0.004277623329066794,mse,10,5,78,75,143,"OrderedDict([('criterion', 'mse'), ('max_depth', 10), ('max_features', 5), ('min_samples_leaf', 78), ('min_samples_split', 75), ('n_estimators', 143)])"
8,0.1733218275833852,0.2249791851582753,0.06055483468824763,0.21245056946179453,0.23323243275256167,0.18090344991612767,0.06357064434897242,8,1.9465660095214843,0.5970580280431091,0.10272879600524902,0.000638376230978313,mse,3,17,8,33,360,"OrderedDict([('criterion', 'mse'), ('max_depth', 3), ('max_features', 17), ('min_samples_leaf', 8), ('min_samples_split', 33), ('n_estimators', 360)])"
9,0.1570272936837489,0.15810537390885304,0.060577889459412226,0.1326505403795748,0.17711955390083856,0.13710748058733815,0.040771837302281996,24,26.825691413879394,9.671467598798756,0.30460338592529296,0.08161407164615875,mse,11,211,84,60,509,"OrderedDict([('criterion', 'mse'), ('max_depth', 11), ('max_features', 211), ('min_samples_leaf', 84), ('min_samples_split', 60), ('n_estimators', 509)])"
10,0.14771354257344227,0.15974771127904064,0.03527892193130555,0.20501529380436978,0.2032420432588854,0.15019808687465025,0.061824749229860664,19,13.27177038192749,4.518856033459769,0.3264003276824951,0.031194406859319745,mse,3,70,1,88,823,"OrderedDict([('criterion', 'mse'), ('max_depth', 3), ('max_features', 70), ('min_samples_leaf', 1), ('min_samples_split', 88), ('n_estimators', 823)])"
11,0.15912649413036895,0.10305843746754573,0.011025250562258782,0.22787975197897659,0.16337335826445298,0.1329075980226623,0.07262026685683534,27,7.593729305267334,2.709691157012866,0.1095550537109375,0.006114100288681616,mse,5,260,1,90,100,"OrderedDict([('criterion', 'mse'), ('max_depth', 5), ('max_features', 260), ('min_samples_leaf', 1), ('min_samples_split', 90), ('n_estimators', 100)])"
12,0.1667104816465722,0.22400629502672853,0.05523986611399978,0.21962663217026923,0.12782572809680315,0.15868637275269448,0.06274921274909022,18,57.85253772735596,20.48965375394235,0.3724705696105957,0.12877910878972615,mse,4,298,40,2,894,"OrderedDict([('criterion', 'mse'), ('max_depth', 4), ('max_features', 298), ('min_samples_leaf', 40), ('min_samples_split', 2), ('n_estimators', 894)])"
